Water kg/m3,Cement kg/m3,Water / Cement Ratio,Natural Coarse Aggregate Fineness Modulus,Natural Coarse Aggregate (kg/m3),Recycled Coarse Aggregate Fineness Modulus,Recycled coarse aggregate Absorption Capacity (%),Recycled Coarse Aggregate (kg/m3),Replacement Percentage of Recycled Coarse Aggregate (%),Natural Fine Aggregate Fineness Modulus,Natural Fine Aggregate (kg/m3),Crumb Rubber FM,Crumb Rubber (kg/m3),Replacement Percentage of Crumb Rubber (%),Addition of Fiber (kg/m3),Fiber Mass(%),No Fiber,PPFiber,SteelFiber,SteelTireWiresFiber,Age (Days),Compressive Strength (MPa)
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,7,25.53
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,7,22.51
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,7,20.63
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,7,21.92
162.298,427.1,0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,0,28,32.09
162.298,427.1,0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,0,28,31.98
162.298,427.1,0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,0,28,30.49
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,0,28,38.1
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,0,28,38.24
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,0,28,37.72
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,36.37
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,34.84
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,39.27
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,35.71
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,36.91
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,37.61
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,32.9
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,32.47
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,32.69
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,32.8
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,35.04
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,37.51
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,27.48
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,31.03
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,31.31
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,30.83
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,29.24
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,32.79
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,0,28,30.01
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,0,28,29.55
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,0,28,30.43
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,33.14
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,30.65
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,0,28,33.53
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,37.85
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,40.21
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,0,28,41.98
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,30.95
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,33.78
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,28,31.19
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,34.72
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,32.28
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,28,30.79
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,31.38
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,31.98
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,28,31.51
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,30.18
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,29.06
162.298,427.1,0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,28,29.81
162.298,427.1,0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,0,56,35.04
162.298,427.1,0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,0,56,41.6
162.298,427.1,0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,0,56,37.41
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,0,56,44.96
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,0,56,44.09
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,0,56,37.65
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,0,56,41.86
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,0,56,36.18
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,0,56,42.31
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,0,56,37.21
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,0,56,41.13
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,0,56,35.49
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,56,34.61
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,56,35.72
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,0,56,35.24
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,56,37.12
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,56,39.13
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,0,56,31.8
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,56,28.99
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,56,32.62
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,0,56,25.9
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,56,31.9
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,56,37.46
162.298,427.1,0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,0,56,38.36
