Water / Cement Ratio,NCA Fineness Modulus,NCA (kg/m3),RCA Fineness Modulus,RCA Absorption Capacity (%),RCA (kg/m3),Replacement Percentage of RCA (%),NFA Fineness Modulus,NFA (kg/m3),CR Fineness Modulus,CR (kg/m3),Replacement Percentage of CR (%),Addition of Fiber (kg/m3),Addition of Fiber (%),No Fiber,PP,SteelTireWire,Age in Days,Tensile  Strength (MPa)
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,28,2.34
0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,56,2.57
0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,56,2.63
0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,56,2.61
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,56,2.53
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,56,2.56
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,56,2.54
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,56,2.63
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,56,2.67
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,56,2.63
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,56,2.47
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,56,2.41
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,56,2.42
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,56,2.74
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,56,2.25
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,56,2.52
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,56,2.22
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,56,2.43
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,56,2.35
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,56,2.51
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,56,2.24
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,4.54,0.5,0,1,0,56,2.39
0.45,6.73,979.6,0,0,0,0,2.8,731.4,0,0,0,0,0,1,0,0,56,3.504
0.45,6.73,979.6,0,0,0,0,2.8,731.4,0,0,0,0,0,1,0,0,56,3.62
0.45,6.73,979.6,0,0,0,0,2.8,731.4,0,0,0,0,0,1,0,0,56,3.253
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,0,0,1,0,0,56,3.477
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,0,0,1,0,0,56,3.27
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,0,0,1,0,0,56,3.119
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,4.55,0.5,0,1,0,56,3.337
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,4.55,0.5,0,1,0,56,3.216
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,731.4,0,0,0,4.55,0.5,0,1,0,56,3.197
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,0,0,1,0,0,56,2.929
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,0,0,1,0,0,56,3.179
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,0,0,1,0,0,56,3.048
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,4.55,0.5,0,1,0,56,2.422
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,4.55,0.5,0,1,0,56,2.591
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,694.8,3.12,15.9,5,4.55,0.5,0,1,0,56,2.559
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,0,0,1,0,0,56,3.57
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,0,0,1,0,0,56,3.73
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,0,0,1,0,0,56,3.777
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,4.55,0.5,0,1,0,56,3.275
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,4.55,0.5,0,1,0,56,3.271
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,658.3,3.12,31.8,10,4.55,0.5,0,1,0,56,3.484
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,0,0,1,0,0,56,3.162
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,0,0,1,0,0,56,3.266
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,0,0,1,0,0,56,3.206
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,4.55,0.5,0,1,0,56,2.83
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,4.55,0.5,0,1,0,56,3.076
0.45,6.73,685.7,6.73,2.97,293.9,30,2.8,621.7,3.12,47.7,15,4.55,0.5,0,1,0,56,2.928
0.45,6.5,1161.53,0,0,0,0,2.5,362.64,2.5,65.62,20,0,0,1,0,0,7,2.3
0.45,6.5,1106.09,6.5,3,83.69,10,2.5,326.38,2.5,65.62,20,0,0,1,0,0,7,2.56
0.45,6.5,1050.65,6.5,3,167.37,20,2.5,290.11,2.5,65.62,20,0,0,1,0,0,7,2.56
0.45,6.5,995.2,6.5,3,251.06,30,2.5,253.85,2.5,65.62,20,0,0,1,0,0,7,2.3
0.45,6.5,939.76,6.5,3,334.74,40,2.5,217.58,2.5,65.62,20,0,0,1,0,0,7,2.7
0.45,6.5,1161.53,0,0,0,0,2.5,362.64,2.5,65.62,20,0,0,1,0,0,28,2.71
0.45,6.5,1106.09,6.5,3,83.69,10,2.5,326.38,2.5,65.62,20,0,0,1,0,0,28,3.02
